Species,NewWorld,Detected,ZikaDetected,mean.score,median.score,sd.score,NA.nums
Trachypithecus_auratus,FALSE,FALSE,FALSE,0.111,0.106,0.043,15
Trachypithecus_barbei,FALSE,FALSE,FALSE,0.095,0.071,0.091,21
Trachypithecus_cristatus,FALSE,TRUE,FALSE,0.326,0.301,0.105,11
Trachypithecus_delacouri,FALSE,FALSE,FALSE,0.154,0.166,0.083,16
Trachypithecus_ebenus,FALSE,FALSE,FALSE,0.092,0.067,0.075,21
Trachypithecus_francoisi,FALSE,FALSE,FALSE,0.2,0.179,0.105,13
Trachypithecus_geei,FALSE,FALSE,FALSE,0.076,0.077,0.042,12
Trachypithecus_germaini,FALSE,FALSE,FALSE,0.148,0.148,0.1,21
Trachypithecus_hatinhensis,FALSE,FALSE,FALSE,0.108,0.124,0.065,21
Trachypithecus_johnii,FALSE,FALSE,FALSE,0.152,0.141,0.077,12
Trachypithecus_laotum,FALSE,FALSE,FALSE,0.101,0.098,0.071,20
Trachypithecus_obscurus,FALSE,FALSE,FALSE,0.33,0.328,0.078,6
Trachypithecus_phayrei,FALSE,FALSE,FALSE,0.226,0.225,0.08,10
Trachypithecus_pileatus,FALSE,FALSE,FALSE,0.178,0.155,0.095,13
Trachypithecus_poliocephalus,FALSE,FALSE,FALSE,0.104,0.105,0.06,20
Trachypithecus_shortridgei,FALSE,FALSE,FALSE,0.114,0.135,0.054,21
Trachypithecus_vetulus,FALSE,FALSE,FALSE,0.146,0.145,0.057,2
Varecia_rubra,FALSE,FALSE,FALSE,0.061,0.07,0.04,20
Varecia_variegata,FALSE,FALSE,FALSE,0.165,0.195,0.103,0
