Species,NewWorld,Detected,ZikaDetected,mean.score,median.score,sd.score,NA.nums
Trachypithecus_auratus,FALSE,FALSE,FALSE,0.252,0.21,0.197,15
Trachypithecus_barbei,FALSE,FALSE,FALSE,0.313,0.096,0.365,21
Trachypithecus_cristatus,FALSE,TRUE,FALSE,0.315,0.311,0.207,11
Trachypithecus_delacouri,FALSE,FALSE,FALSE,0.341,0.205,0.276,16
Trachypithecus_ebenus,FALSE,FALSE,FALSE,0.121,0.126,0.119,21
Trachypithecus_francoisi,FALSE,FALSE,FALSE,0.326,0.368,0.223,13
Trachypithecus_geei,FALSE,FALSE,FALSE,0.218,0.18,0.142,12
Trachypithecus_germaini,FALSE,FALSE,FALSE,0.271,0.235,0.207,21
Trachypithecus_hatinhensis,FALSE,FALSE,FALSE,0.206,0.158,0.211,21
Trachypithecus_johnii,FALSE,FALSE,FALSE,0.186,0.194,0.108,12
Trachypithecus_laotum,FALSE,FALSE,FALSE,0.279,0.226,0.199,20
Trachypithecus_obscurus,FALSE,FALSE,FALSE,0.597,0.623,0.338,6
Trachypithecus_phayrei,FALSE,FALSE,FALSE,0.382,0.437,0.202,10
Trachypithecus_pileatus,FALSE,FALSE,FALSE,0.298,0.235,0.223,13
Trachypithecus_poliocephalus,FALSE,FALSE,FALSE,0.199,0.148,0.148,20
Trachypithecus_shortridgei,FALSE,FALSE,FALSE,0.222,0.12,0.233,21
Trachypithecus_vetulus,FALSE,FALSE,FALSE,0.318,0.327,0.092,2
Varecia_rubra,FALSE,FALSE,FALSE,0.091,0.023,0.175,20
Varecia_variegata,FALSE,FALSE,FALSE,0.311,0.203,0.32,0
